"Date","SBR","SBE","BSB","ExC","ExP","ImC","ImP","Man","Bld","UnE","UnC","CPI","PFB","PAT","PCF","PHE","PHH","PH","PT","PC","PRC","PE","DPU","TEx","TIm","ToT","M0","M1","M2","M3","ERE","ERA","USE","USA","Ref","Lom"
"2005-04-01",14767.2,15692.3,-925.099999999999,1377.2,4.2,697.700000000001,-14.7,1.3,10.4,-94.7999999999997,93.2,-0.400000000000006,-1.59999999999999,0,-0.200000000000003,-0.200000000000003,-0.0999999999999943,0,1.09999999999999,0,0.300000000000011,0,8926,98.3,94.6,103.9,1322.29999999999,-4208.79999999999,5315.60000000003,6486.10000000003,3.3,3.21,4.28,4.15,6,7.5
"2005-05-01",13559.63,18043.2,-4483.6,-1835.8,9.5,-412.700000000001,16.4,2.6,10,-90.5,92.7,-0.5,0.599999999999994,0.0999999999999943,-0.399999999999991,-1.7,-1,0,-2.8,0.0999999999999943,-0.300000000000011,-0.0999999999999943,7287,90.5,95.7,94.6,2256.90000000001,13485.6,6499.09999999998,7578.5,3.33,3.29,4.12,4.18,5.5,7
"2005-06-01",17139.37,17252.8,-113.399999999998,2374.1,15.7,807.299999999999,20.7,-2.7,2.1,-39.9000000000001,92.1,-1.09999999999999,-3.89999999999999,0.400000000000006,-0.100000000000009,-0.0999999999999943,-0.300000000000011,-0.0999999999999943,0.599999999999994,-0.0999999999999943,-0.5,0,6718,82.4,79.5,103.6,-803.400000000009,-179.099999999977,-1963.09999999998,-386.900000000023,3.35,3.34,4.04,4.06,5.5,7
"2005-07-01",15134.8,14217.9,916.899999999998,-2037.9,-22.2,-1464.1,-29,2.4,4,-18.4000000000001,92.3,-0.100000000000009,-1.2,-0.0999999999999943,0,0.299999999999997,-0.299999999999997,0.0999999999999943,2,0,-0.0999999999999943,0,8838,97.6,103.2,94.6,398.200000000012,-1784.30000000002,990.5,-1471.20000000001,3.37,3.4,4.08,4.1,5,6.5
"2005-08-01",15417,16623.3,-1206.27,-515.099999999999,-3.7,-62.6000000000022,12,2.3,2.8,-25.6999999999998,92.6,0.299999999999997,1.3,-0.100000000000009,-0.399999999999991,-0.100000000000009,-0.200000000000003,0,0.700000000000003,0,-0.0999999999999943,0,9594,102.6,98.1,104.6,3448.39999999999,7337.80000000002,6271.39999999997,6523.60000000003,3.31,3.29,4.05,4.05,5,6.5
"2005-09-01",15794.5,15039.3,755.169999999998,3591.6,4,3197.2,-3.10000000000001,-1.8,0,-23.2000000000003,92.9,0.200000000000003,0.5,0,-0.299999999999997,-0.0999999999999943,-0.0999999999999943,0,0.900000000000006,0.0999999999999943,0.199999999999989,-0.200000000000003,9519,94.8,95.9,98.9,-2784.10000000001,-942,4159.40000000002,4214.09999999998,3.26,3.2,3.92,3.92,5,6.5
"2005-10-01",15831.2,18697.9,-2866.7,1063,11.9,311.099999999999,6.8,-2.3,-1,-48,92.3,-0.200000000000003,-0.200000000000003,0,0,0.299999999999997,-0.200000000000003,0.0999999999999943,-1.60000000000001,0,-0.0999999999999943,-1.8,10095,90.8,94.7,95.9,438.800000000003,3977.5,5425.29999999999,8225.90000000002,3.31,3.26,3.99,3.93,4.5,6
"2005-11-01",15549.6,17173.1,-1623.5,-119.400000000001,-5.80000000000001,1145.2,1.80000000000001,-3.4,-5.6,10.7000000000003,92.5,-0.599999999999994,-1.3,0,-0.100000000000009,0,0,0.200000000000003,-1.69999999999999,-0.599999999999994,-0.5,0,10048,96,98.7,97.3,2479.3,6993,1775.59999999998,-662.400000000023,3.32,3.37,3.91,3.97,4.5,6
"2005-12-01",15350.6,21439.1,-6088.5,-3018.8,-4,-2880,-4.60000000000001,-2.2,-8.4,50.1999999999998,92.4,-0.299999999999997,-0.799999999999997,0,0,0.100000000000009,0,0,-1.60000000000001,-0.0999999999999943,-0.0999999999999943,-0.100000000000009,16541,103.5,101.5,102,-4657,6061.79999999999,6381.40000000002,5428.10000000003,3.26,3.25,3.86,3.86,4.5,6
"2006-01-01",-160180.1,-189313,29132.9,471.700000000001,11.2,-773.200000000001,19.3,3.6,0.199999999999999,93.6999999999998,92.6,-0.100000000000009,0.399999999999991,-0.0999999999999943,-0.200000000000003,0.5,0,-1.2,0,-0.700000000000003,-1.30000000000001,0.100000000000009,10192,95.5,93.1,102.6,1649.3,-3293.39999999999,-5043.29999999999,-5005.60000000003,3.16,3.16,3.83,3.82,4.5,6
"2006-02-01",12439.7,19928.2,-7488.4,406.400000000001,1.8,665.900000000001,-10.7,1.2,-7.9,-0.799999999999727,92.6,0.100000000000009,0.700000000000003,-0.200000000000003,-0.399999999999991,0,-0.0999999999999943,0.100000000000009,-0.700000000000003,0,0.100000000000009,0,8754,94.6,100.2,94.4,1702.2,7133.10000000001,6941.79999999999,9414.20000000001,3.18,3.17,3.77,3.79,4.25,5.75
"2006-03-01",14753.2,17312.4,-2559.2,4401.4,3.10000000000001,4912.6,4.39999999999999,2.6,3,-43.9000000000001,92.4,-0.299999999999997,-0.5,-0.400000000000006,-0.100000000000009,0,-0.100000000000009,-0.100000000000009,-0.299999999999997,-0.799999999999997,-0.799999999999997,0,9338,100.2,100.9,99.3,805.800000000003,-1705.90000000002,4088.5,2184.5,3.25,3.22,3.94,3.87,4,5.5
"2006-04-01",16568.9,17363.6,-794.9,-2820.1,-20.7,-3547,-19.8,1.2,9.3,-118.4,91.4,0.299999999999997,0.100000000000009,-0.5,0.100000000000009,1.39999999999999,0,-0.0999999999999943,0.5,0.0999999999999943,-0.400000000000006,-0.100000000000009,7319,102.4,104.8,97.7,3957.8,-93.6999999999825,4123.29999999999,5210,3.08,3.2,3.87,3.92,4,5.5
"2006-05-01",14569.5,19217.2,-4647.6,2103.8,17.3,4367.2,19.1,3.6,8.7,-120.6,90.1,0.200000000000003,0.399999999999991,-0.299999999999997,-0.100000000000009,0,0,0,1.3,-0.0999999999999943,-0.299999999999997,0,6603,102.5,102.9,99.6,332.599999999991,14690.3,8327.70000000001,10385.3,3.07,3.05,3.95,3.89,4,5.5
